region;year;lognat_decomp
north;1990;0.316768963251472
north;1991;0.306977827989216
north;1992;0.299328610847649
north;1993;0.293606046635631
north;1994;0.289498959919252
north;1995;0.287482894623462
north;1996;0.284189350439742
north;1997;0.279550064648157
north;1998;0.279135210979537
north;1999;0.279822651263503
north;2000;0.281209085460325
north;2001;0.282078277188458
north;2002;0.281434080424762
north;2003;0.282722285381199
north;2004;0.283814532256544
north;2005;0.287150427806358
north;2006;0.290014036449735
north;2007;0.293708012384072
north;2008;0.300881741471036
north;2009;0.301530229858271
north;2010;0.302950375977829
north;2011;0.308248599465897
north;2012;0.31282084333823
north;2013;0.317148649789423
north;2014;0.322516025552466
north;2015;0.329985624352177
north;2016;0.334013569055381
north;2017;0.337883606252592
north;2018;0.34303526723031
north;2019;0.348549157252523
north;2020;0.355705416287107
north;2021;0.360772561122575
south;1990;0.44713933423382
south;1991;0.444755743494851
south;1992;0.442904639756343
south;1993;0.445197556573387
south;1994;0.452728727083792
south;1995;0.464450234846723
south;1996;0.472708409836084
south;1997;0.479156394368431
south;1998;0.491359634245241
south;1999;0.503851778885346
south;2000;0.516386830445601
south;2001;0.524833795843367
south;2002;0.52930725812587
south;2003;0.535116195725662
south;2004;0.538308793184437
south;2005;0.542868844209356
south;2006;0.548121672901018
south;2007;0.554279609698599
south;2008;0.564211549776279
south;2009;0.561131471784998
south;2010;0.561156291978017
south;2011;0.568665137774016
south;2012;0.576052505785858
south;2013;0.584314407101394
south;2014;0.595578700359927
south;2015;0.613023058962235
south;2016;0.62889253798548
south;2017;0.647974700259661
south;2018;0.664726560672506
south;2019;0.680011252871012
south;2020;0.690884380269456
south;2021;0.698899619373921
